あおふみ,お誕生日おめでとうございます！！<br>めでたい！！めでたすぎる！！！
アテナ,8周年&お誕生日おめでとうございます！！！
さだのぶ,ユメミちゃんお誕生日おめでとうございます！<br>今年も素敵な一年になぁれ！
さもわーる,お誕生日＆活動8周年おめでとうございます！<br>ふだんROM専ですが、シャドバの頃から色々なことに<br>チャレンジしている姿がすごいなと思って応援しています。<br>これからもお身体に気を付けて、元気な姿を見せてください～！
しゅう,ユメミちゃん、お誕生日おめでとうございます！<br>今年もユメミちゃんのお誕生日をお祝いすることができて幸せです！<br>いつもたくさんセンパイに愛情を注いでくれてありがとう〜<br>今年も健やかな1年となりまように！
ゼグラム,ユメミちゃんお誕生日おめでとう！！！<br>これからもセンパイのことを可愛がってね！！！！
たー,8周年おめでとうございます！今年もお祝いできて嬉しいです！<br>これからもユメミちゃんも見て聴いていっぱい感じて、<br>受け取っていきます、ユメミちゃん大好き！！！<br>これからも応援してます！
タルタルチキン,ユメミちゃんお誕生日おめでとう!<br>ユメミちゃんの配信がいつも心の支えになってるよ<br>季節の変わり目だけど体調に気を付けて元気でいてね
ちゃぴたろう,ユメミちゃん！誕生日おめでとう！！<br>今年もユメミちゃんにとっていい年でありますように
てんちょう,ユメミちゃんお誕生＆活動8周年おめでとうございます！<br>ゴキゲンな1年になりますように！
とげウニ,お誕生日おめでとうございます！<br>記念すべき日をセンパイとしてともに迎えることができて<br>とてもうれしいです。
なつみかん,誕生日おめでとう！！！！これからも配信頑張って！！
まきのほたる,お誕生日おめでとうございます！<br>素敵な1年になりますように！
モコきち,ユメミちゃんおめでとう！！<br>いつもライブ等拝見させてもらってます！<br>ユメミちゃんのASMRで色んな場面で助けになってます、、、<br>これからも末永く活動がんばってください！！
ゆめいろ,ユメミちゃんお誕生日おめでとう🎉<br>ユメミちゃんの活動がいつまでも続きますように……
らんなー,ユメミちゃん誕生日＆8周年おめでとうございます。<br>これからの活動も陰ながら応援しています。
るーるるる,誕生日おめでとう！これからもずっと大好きです！！！
赤眼のたま子,お誕生日おめでとう！<br>いつも癒しな配信を届けてありがとうございます！
萌可冷希,ユメミちゃん、お誕生日＆8周年おめでとう🎉<br>これからも楽しい配信やASMRをたくさん楽しみにしてる！
BON,ユメミさんお誕生日おめでとうございます。<br>いつも癒しの時間をありがとうございます。
Diavolus,８周年おめでとう〜！<br>いつも頑張ってくれてありがとう！<br>これからもずっと応援しています〜！
