あおふみ,高いところから失礼します！という口上が好きすぎる！！<br>可愛い！！
アテナ,かわいいところ！あとあまあま配信だいすき！！！
さだのぶ,ユメミちゃんの笑い声ドキドキしちゃう好き
さもわーる,雑談でもASMR配信とかでも、ユメミちゃん自身が楽しそうに配信しているところがとても好きです！ あとは年末年始の福袋開封とかも、面白くて良き……！
しゅう,"声！人となり！
シャドバも、ASMRも、グッズも、取り組むと決めたら""本気""で、良いものを届けようとする姿勢！"
ゼグラム,いつものASMR配信も甘ばとも雑談も全部好き。<br>いつも楽しそうにいろんな話を聞かせてくれるのが好き。
たー,好きなものたくさん食べて<br>いっぱい寝ているユメミちゃんも好きです
タルタルチキン,最近の低めの声の配信がよかった！<br>低めの声のユメミちゃんはかっこよくて惚れちゃいそうだった、<br>もう惚れてるけど。<br>低温のすきすき囁きもよかったからまたやってほしいです
ちゃぴたろう,びっくらぶ配信！頑張り屋さんで優しいところが大好き！
てんちょう,好きな配信は何気に雑談！<br>実写担当さんのサービス精神旺盛なところも好き
とげウニ,自分のことが好きなユメミちゃんが好き！
なつみかん,ASMR配信でいつも寝かしつけられたり、カリカリされたり…<br>いつもお世話になってます…！！
モコきち,好きなところは声と先輩を「わかってる」ところかな。。。<br>睡眠系のASMRではいつもお世話になってるし、<br>DLサイトのASMRも満足感が高くて<br>買ってからかなりの回数聴いてます！
らんなー,圧倒的に甘ばと配信が好きです。分かっててセンパイを煽るようなセリフを言ってくれるところとかが特に。
るーるるる,ユメミちゃんのとっても心暖かくて優しくて<br>受け入れてくれるところ大好きです…！
萌可冷希,声！笑顔！
Diavolus,ユメミちゃんのASMR配信を初めて見たときから、<br>よく眠れるようになりました。<br>今ではユメミちゃんの明るい笑い声が大好きで、<br>とても癒されています〜
eldora,やりたい事優先しての配信やセンパイとのやり取り
あんぷ,好きな配信は<br>ユメミちゃんを知るきっかけにもなったASMRの配信です！！<br>ユメミちゃんの可愛くてリラックスできるお声で<br>とろとろに甘やかしてもらえるのが本当に幸せで...♡<br>疲れとか、悩みも<br>ユメミちゃんの耳フーで全部吹き飛んじゃいますw<br><br>ユメミちゃんの好きなところ！？！？<br>全部だいだいだ〜いすき♡(ガチ)
,寝る用に聞くのがメインですが、<br>好きな声を聞いてるのが一番落ち着くので<br>いっぱい声を聞かせてくれる甘ばとが大好きです<br>内容に集中すると落ち着けない時もありますが…
キリ,ユメミちゃんが楽しそうに趣味の話や映画を聞くのが大好き！<br>そしてセンパイのことユメミちゃんが大好きなのが伝わってそれが好き〜<br>好きな配信は心音配信〜
シュガッター,<a href="https://www.youtube.com/watch?v=mi2EQZ8gBF8">【#お兄ちゃんと一緒ASMRリレー🩷KU100】甘やかしママ系妹ユメミちゃん🍼🤍</a><br>お兄ちゃん呼びしてもらうの、本当にたまらないです！<br>ユメミちゃんのかわいくてあまあまな囁き声を聴くたび、<br>とろけちゃうくらい幸せな気持ちになる……
すや,配信は全部だいすき！<br>雑談もASMRもゲームも甘ばともニコ＋も全部すき！<br>今年はサービス精神旺盛でとってもすごいね....<br><br>ユメミちゃんのすきなところは自分を持っているところ！<br>ちゃんと自分の考えがあったり芯があるところが<br>かっこよくて尊敬してる！<br>あと言わずもがなかわいいところが大好き♡
セカイの牛丼,甘ばと配信！
たにし,抱きしめなでなで、バブみ、寝かしつけ、低音、甘ばと…etc
なたやん,ASMR配信では睡眠時の視聴や<br>疲れた時の癒しとなっており、いつもお世話になっています。<br>ガチ添い寝配信めちゃくちゃ好きです。<br>ユメミちゃんの好きなところは自分のやりたい事を突き詰めて<br>妥協しないで物事を進めるところです。<br>いつも真面目だなと思いつつも、<br>出されたもののクオリティが高く驚いています。<br>そういったまっすぐで真面目なところが大好きなので<br>これからも応援します。
