あおふみ,ドロドロに甘やかして欲しい！<br>音声作品もっと聞きたい！
しゅう,に、ニカメの実装を……！
ゼグラム,添い寝しながらの囁き配信が好きだったからまた聞きたい。
たー,クーラーの効いた部屋でのんびり読書配信(？)（作業配信）
ちゃぴたろう,耳はむasmrは一緒待ってます….
てんちょう,そんきょ
とげウニ,ユメミちゃんが少しでも長く元気に活動してくれること！
なつみかん,催眠誘導系をやってほしい！
モコきち,ホラゲ配信見てみたい
らんなー,これからも健やかに長く活動を続けて欲しいです。
赤眼のたま子,いつか濃い吐息やイチャらぶ耳舐めを聞きたい
萌可冷希,全部👀
Diavolus,水の音やジェルボールを使ったASMR配信を見てみたいです！<br>どちらもすごく気持ちいい音で、絶対リラックスできると思います〜
eldora,夢はでっかくということで単独イベント開催
あんぷ,「甘ばと妹ASMR」をどうか、、、
,甘さを一切抜きにしたセンパイ達が泣いちゃうくらいの<br>ガチ罵倒を聞いてみたい欲があります
キリ,またボドゲとかマダミス配信が見たいです〜<br>あとはお歌！"
すや,映画の同時視聴してほしい！<br>おすすめ作品でも気になる作品でも一緒に見て感想会したい<br>ユメミちゃんの作品の感想がちゃんと言語化されてて<br>毎回すごいって思ってたから<br>リアルタイムでも感想聞けたら<br>すごい共感できて楽しそうだな～～～って思ってます
セカイの牛丼,ヤンデレASMRとかやって欲しい🥺
たにし,低音、添い寝をまたやって欲しい…
なたやん,"実写配信での雑談も大好きだけど、<br>変なリアクションとか叫びとか聞いてみたいかも？<br>緩い感じのゲームからホラーゲームをやってほしい！
ハヤテ,ユメミちゃんの声が好きだから、もっと歌も聴きたいかも？
ハンゾウ,ユメミちゃんのトーク好きなので<br>雑談やゲーム配信を定期的に摂取したいです
メンバー,リバーブありのASMR配信をまたやって欲しいです。
よふけのかるあ,看取り音声。
雑煮,ひたすら｢ま〜ぞ♡｣って囁き続ける甘ばと
無限連鎖講の防止に関する法律,2020年前後の攻めた発言とか企画とか、濃い味も<br>また食べたいな～！<s>tntnって言えユメミ……ッ！！</s><br>特に実写は衣装（の過激さ）と映像進化はすごいから、<br>内容の方でも衣装にあわせた攻め台詞とか、<br>みんなでシチュ開拓とか、まだまだ発展がある気がする～！<br>火力高い囁きでセンパイを薙ぎ倒そう！
コシヒカリ,ユメミちゃんにとって楽しいことをして、<br>できればそれを見せてくれたらセンパイは幸せです<br>欲を出すと、お絵描き配信やデスクツアー、<br>実写担当さんのグッズ（フォトブックとか！）欲しいですね...<br>★だと...そうですね、<br>本年は早くも暑さが気になり始めましたので、<br>涼しげな夏服、逆にレザーで汗を堪能などいかがでしょうか。
サムライたん,そりゃぁユメバニちゃんも登場した事ですし、<br>実写担当さんにはそろそろバニー解禁していただいて。<br>あと例のロゴのやーつもまた着てほしい。<br><br>あと、配信はしなくてもいいからシャドバがサ終するまでに<br>最後のストーリーだけみてくれ。（笑）
じゅまちゃん,えー、プリズマイリヤのクロエコスプレをいつかですね…<br>みたいとです
ひきをたにぃと,ほんとはやってほしい企画とかなんだろうけど、<br>やってほしいことは、幸せになって欲しいな。<br>恋愛とか結婚とかそういうのでもそうでないのでも、<br>とにかくユメミちゃんらしく拘って幸せになってもらいたいです✨️
ユーリ,３Ｄで体を動かしてるユメミちゃんが見てみたいな～<br>と思ってます！！！そして、実写担当さんのフォトブック第二弾も<br>何卒よろしくお願い申し上げます。<br>実写も大大大好きなセンパイです。<br>びっぐらぶのサムネが画質良すぎていつも目を丸くして見てます。<br>あと足拓色紙(両足＆真ん中にサイン付き)書き配信も<br>待ってます！！！
千緒(ちお),そろそろバニー着ましょうよ、バニー。<br>え？ユメバニちゃんは別の世界線だからノーカンですよ？<br>短くてもいいのでユメバニちゃん見たいなシチュボや、<br>特定の音を延々と続けるタイプのASMR動画。
鳩さん。,新しいユメミちゃんで添い寝配信してくれたら、<br>めっちゃ嬉しい！絶対かわいい！<br>あと作業配信もやってくれたら、個人的には嬉しい。<br><br>あとあと、花魁コスして欲しい…！
Jackson,実写担当の方にチャイナドレスを着てほしいです！<br>あとはいつか音声作品で耳舐めASMRが聴きたいです...
