あおふみ,出会わせてくてくれてありがとうございます！
アテナ,中々寝れない時にかなーり助かってます！<br>本当に感謝；；
さだのぶ,ユメミちゃんに出会ってからQOL爆上がりです。<br>よしよしで元気になれます！いつもありがとう〜
しゅう,いつもたくさんの愛情をセンパイにくれるところ、生きがい！
ゼグラム,いつもセンパイの欲望や我儘を笑って許してくれてありがとう。
たー,今を生きるユメミちゃんに出会い、心を刺激されることばかりです！<br>僕にとって何が一番大切か考える機会もくれました。<br>ユメミちゃんのこともぽかぽか照らせるようにと願ったり、<br>人として生きていきたいと思いました、夢もできました、ありがとう。<br>貴方に出会えてから、心から笑えるようにもなりました。
タルタルチキン,個人的な話になるんだけど、<br>実は一回高校辞めて通信制高校に転校したんだけど、<br>通信だからほぼ授業も登校もないから家から出ずにほぼ引きこりになってたんだけど、ユメミちゃんの配信で元気づけられて今年の２月から大学受験のために予備校に通いはじめたよ。<br>体力なくて毎日勉強しんどいけどユメミちゃんの配信とか音声作品とかが日々のモチベーションになっててユメミちゃんがいなかったらこんなにがんばれてなっかっただろうから本当に感謝してるよ!!
ちゃぴたろう,ニコ＋でセンパイのわがままを受け入れてくれること！<br>まじ助かってます！
てんちょう,私の人生のASMR担当してくれてありがとう
とげウニ,ちょうど社会人になるタイミングでユメミちゃんを知ったのですが、<br>ユメミちゃんのASMRのおかげで<br>仕事しててもメンタルがずっと安定していること！
なつみかん,ユメミちゃんのおかげでASMRという扉を開いてもらってとても嬉しい…！！！おかげで寝るときとかがなんか楽しくなりました！
モコきち,受験期でメンタル安定してない時いっぱい助けてもらいました。。。<br>大学にも無事合格して、いい感じに過ごせてます！<br>ほんとうに感謝です！
らんなー,ユメミちゃんがこの可愛らしい声で生まれてきて、<br>ASMR配信をしてくれていることに感謝を。
るーるるる,いっつもつらい時しんどい時にユメミちゃんのASMRを聞いて<br>救われてます！ほんとにいつも生きる原動力になってます！<br>ありがとうユメミちゃん！！！
萌可冷希,ユメミちゃん、ほぼ毎晩その声でセンパイの心を癒してくれてありがとう<br>ユメミちゃんの声を聞くと、一日中の疲れがすっと消えていく気がする
Diavolus,いつも配信をしてくれてありがとうございます！<br>配信はいつも私の一日を明るくしてくれます。<br>この素敵なコミュニティを作ってくれて本当にありがとうございます〜
eldora,長い間活動を継続的に続けてくれてることに感謝！
あんぷ,色んな配信内容に挑戦したり、<br>素敵な音声作品やグッズを作ってくれたりと<br>センパイたちを楽しませようと色々なことを日々考えてくれてるんだなあというのがユメミちゃんのコンテンツを通してひしひしと伝わってきます。<br>こんなに楽しい時間をくれるユメミちゃんには本当に感謝しかありません！<br>いつもありがとう！
,重複してしまいますが<br>やっぱり安眠の時間を戴けていることに感謝を<br>ユメミさん無しだと入眠が困難になっているまであるので、<br>責任取ってこれからも寝かしつけをお願い申し上げます
かるぽのーと,ユメミちゃんの可愛い声を聴けば幸せになり、<br>嬉しそうな様子を見ると自分も嬉しく、<br>知られざる頑張りに触れては何度もパワーをもらっていました💪<br>ASMRでは心の里帰り💭ニコ+では色々お世話になりました(？)<br>よく何気ない日常や思ったことを共有してくれたり、<br>エゴサ爆速なのもやはり超嬉しい……本当にありがとう！
キリ,ユメミちゃんに初めて出会って紅茶にハマって<br>色々な趣味を見つけられて人生が豊かになりました！<br>日々動画を見て癒されていつも幸せです<br>ずっと配信を続けてくれててありがとうございます。<br>出会う機会を与えたくてありがとうございます。<br>いつもいつもありがとうございます。
シュガッター,いつもよしよしいいこいいこしてくれてありがとう！！<br>ユメミちゃんのASMR配信が大好きです！！<br>かわいくて素敵なグッズにも感謝です～！
すや,お仕事とか大変な時に配信やポストですごい癒されてメンタル回復する！<br>いつも最高な時間をありがとう～～
セカイの牛丼,ユメミちゃんに出会ってから毎晩寝るのが楽しみになりました！<br>本当に感謝です！！
たにし,初めて聴いたユメミちゃんのアーカイブがお布団とんとんの配信で、<br>当時本当に心が救われました！<br>そのアーカイブは今でも繰り返し聴いてます！
なたやん,ユメミちゃんに出会えたことが一番の感謝です。<br>本当に大好きです。
ハヤテ,ユメミちゃんのおかげで毎日安眠できるし、<br>辛い時もユメミちゃんのアーカイブとかツイートをみて<br>元気をもらえる様になりました！<br>ユメミちゃんのいない人生は考えられないレベルで依存してます！<br>俺をハマらせてくれてありがとう！<br>ハマるきっかけになったそめいかぐらのトークイベントで<br>優しく話してくれてありがとう！
ハンゾウ,重くなりすぎるので省略！！！！！<br>とても助けられてるよ〜〜〜
メンバー,ユメミちゃんに癒されて、<br>ASMRを聴いてよく眠れるおかげで日々生きていけてます。<br>ほんとうにいつもありがとうございます！
よふけのかるあ,いまVTuberさん関係の仕事をしているの、<br>わりとマジにユメミちゃんから依頼を受けたことがきっかけなので…<br>人生設計に大きめに関与しています。感謝。
わさびしょうゆ,僕は2年前に新生活で大きく環境が変わり、適応障害になってしまいました。<br>その時は不安などで眠りにつけず毎日大変な日々を過ごしていました。<br>ですがふとyoutubeを見た時にユメミちゃんのASMRが流れてきて、<br>そこから沼にハマり今でも聞き続けています。<br>今の僕があるのはユメミちゃんのおかげです<br>ありがとうございました。
雑煮,いつも弄んでくれて本当にありがとう
無限連鎖講の防止に関する法律,ずっと言ってるけど、何より安心感！個人勢なのに！<br>余計な心配をする隙が何もない！えらい！すごい！<br>センパイがたが忙しいときも、元気がないときも、<br>変わらずずっとそこに居てくれるのは代え難いなぁと思います。<br>ありがと❤
Shironagi♪,とある事情でもう死のうとしてた時に全肯定ASMRを初めて聴いてこの人の<br>声を聴き続けるために生きてみようと思ったのが出会いですね...懐かしい<br>なんだかんだまだ元気ですし、あの時出会えたことを本当に感謝してます。<br>そしてこれからもずっと大好きです。
コシヒカリ,この半年、ユメミちゃんがきっかけで色々なことをしてきました<br>オススメのお店に行ってみたりぬいを作ってみたり、<br>東京旅行にも行っちゃいました！<br>大のインドア派であまり外にも出ない性分だったので、<br>これだけ楽しい思い出ができたのは本当にユメミちゃんのおかげです！
